,Star Name,distance (pc),distance error,N(HI),N(HI) uncertainty,N(HI) source,RA,DEC
78,GJ 849,8.802816901,0.0035877679159999998,18.06,0.06,MegaMUSCLES,332.41810124999995,-4.640736388888889
79,GJ 649,10.38269578,0.003352591488,18.18,0.02,MegaMUSCLES,254.53687374999996,25.74415861111111
80,GJ 729,2.975103147,0.0005673643787999999,17.82,0.02,MegaMUSCLES,282.45568249999997,-23.836236944444444
81,LHS 2686,12.19012697,0.009525208034,17.48,0.2,MegaMUSCLES,197.55262249999996,47.75518638888889
82,GJ 15A,3.5626466469999998,0.0005445061507,18.24,0.01,MegaMUSCLES,4.595353749999999,44.022954722222224
83,GJ 3470,29.44632083,0.05046439565000001,18.07,0.09,Bourrier2018,119.77433124999999,15.391455555555556
84,GJ 163,15.13514168,0.007192876658,18.5,0.16,MegaMUSCLES,62.315284999999996,-53.373691388888886
85,GJ676A,16.03463481,0.01005298166,18.24,0.02,MegaMUSCLES,262.54667916666665,-51.636983055555554
86,GJ 674,4.549565698,0.001008019312,17.88,0.1,MegaMUSCLES,262.1664395833333,-46.8951925
87,K2-18,38.06826401,0.07912592333,18.16,0.39,dosSantos2020,172.56049,7.588404722222222
0,Sirius B,2.6703011245172097,0.001649286496841959,5.2e+17,1.2e+17,Holberg1998,101.2887671,-16.71686778
1,CD-38 10980,12.910805698829636,0.007217629382547044,8.02e+18,1.452e+18,Wolff1999,245.8909917,-39.22948917
2,HZ 43,59.67975841633793,0.2621391801624768,8.85e+17,5.365e+16,Wolff1999,199.09105380000003,29.09872583
3,GD 50,31.039609645869092,0.04614960664453839,8.71e+17,4.01e+16,Vennes1996,57.20910792,-0.9756361111
4,HD 149499B,35.80238515489902,0.20970424406276444,7.4e+18,4e+17,Jordan1997,249.62999580000002,-57.46963889
5,GD 71,51.11481409542113,0.14396110815420804,6.38e+17,6.515e+16,Wolff1999,88.1150825,15.88700778
6,BPM 93487,41.5874771788719,0.10913260677330584,2.88e+18,2.06e+18,Barstow1997,281.91262,1.9598469440000001
7,GD 394,50.30181086519115,0.08602925867579725,4.39e+18,2.25e+18,Barstow1996,318.1834879,50.10496861
8,GD 659,59.175799465050765,0.14882544937473471,3.21e+18,7.045e+17,Wolff1999,13.322617499999998,-32.99903417
9,WD 2004-605,46.36283555102229,0.08512069535371539,1.24e+19,5.3565e+18,Wolff1999,302.2733483,-60.42848139
10,G191-B2B,52.49426500154858,0.15459184401006817,1.81e+18,2.08e+17,Redfield2004,76.377575,52.83108861
11,GD 153,68.52600561913246,0.17703217231865967,7.91e+17,7.625e+16,Wolff1999,194.2596767,22.03128722
12,GD 246,75.17383950385266,0.27238331667728666,1.8e+19,2.3e+18,Wolff1999,348.09006580000005,10.78451583
13,Feige 24,77.7139659768257,0.2192324152269621,3e+18,7e+16,Dupuis1995,38.78164125,3.7324488889999996
14,14 Aur C,81.58936074735854,0.217012458789913,8.91e+18,1.03e+18,Vennes1998,78.84833333,32.68478667
15,2EUVE J0138+25.3,81.10497416806572,0.4190196589577718,2.45e+19,1.05e+19,Dupuis 2002,24.72074,25.38962222
16,2EUVE J0237-12.3,70.76690090510866,0.22335475385159834,6.15e+18,2.05e+18,Dupuis 2002,39.35850625,-12.35962333
17,2EUVE J0521-10.4,84.24670805988256,0.3470681376686651,1.15e+18,8.5e+17,Dupuis 2002,80.32904292,-10.48820722
18,2EUVE J1024-30.3,90.10632546404759,0.4278792133394645,5.15e+18,2.15e+18,Dupuis 2002,156.1840871,-30.35011861
19,2EUVE J1659+44.0,31.653482991000917,0.02885595749034157,2.2e+18,1.2e+18,Dupuis 2002,254.9517671,44.01778833
20,HD 33959 C,81.58936074735854,0.217012458789913,7.35e+18,1.847e+18,Wolff1999,78.84833333,32.68478667
21,WD 0715-703,94.88746346832656,0.27281001704309504,2.18e+19,2.575e+18,Wolff1999,108.8190771,-70.41822667
22,WD 1543-366,88.80442601259247,0.43137655353232973,5.04e+19,6.585e+18,Wolff1999,236.7428046,-36.77849417
23,WD 1631+781,67.11409395973155,9.008603216071348,2.79e+19,5.66e+18,Wolff1999,247.29282709999998,78.07775444
24,WD 1658+440,31.653482991000917,0.02885595749034157,2.88e+18,5.16e+17,Wolff1999,254.9517671,44.01778833
25,Lanning 18,41.5874771788719,0.10913260677330584,2.95e+18,5.18e+17,Wolff1999,281.91262,1.9598469440000001
26,IK Peg,46.12780168735499,0.2957605953237213,3.47e+18,3.945e+17,Wolff1999,321.6110879,19.37564167
